"","meanSIS","meanRain","nEvents","windowstart","windowend","hours","variable","value","measure"
"1",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Emma",229,"stren"
"2",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Emma",120,"stren"
"3",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Emma",97,"stren"
"4",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Emma",217,"stren"
"5",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Emma",223,"stren"
"6",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Emma",269,"stren"
"7",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Emma",38,"stren"
"8",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Emma",34,"stren"
"9",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Emma",23,"stren"
"10",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Emma",200,"stren"
"11",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Emma",233,"stren"
"12",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Emma",65,"stren"
"13",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Emma",55,"stren"
"14",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Emma",55,"stren"
"15",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Emma",129,"stren"
"16",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Emma",272,"stren"
"17",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Emma",67,"stren"
"18",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Emma",71,"stren"
"19",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Emma",169,"stren"
"20",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Emma",191,"stren"
"21",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Emma",169,"stren"
"22",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Emma",18,"stren"
"23",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Emma",26,"stren"
"24",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Emma",49,"stren"
"26",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Gill",417,"stren"
"27",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Gill",393,"stren"
"28",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Gill",287,"stren"
"29",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Gill",152,"stren"
"30",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Gill",108,"stren"
"31",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Gill",143,"stren"
"32",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Gill",55,"stren"
"33",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Gill",48,"stren"
"34",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Gill",49,"stren"
"35",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Gill",123,"stren"
"36",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Gill",54,"stren"
"37",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Gill",5,"stren"
"51",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Alice",177,"stren"
"52",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Alice",211,"stren"
"53",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Alice",185,"stren"
"54",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Alice",226,"stren"
"55",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Alice",236,"stren"
"56",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Alice",320,"stren"
"57",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Alice",76,"stren"
"58",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Alice",27,"stren"
"59",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Alice",49,"stren"
"60",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Alice",166,"stren"
"61",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Alice",200,"stren"
"62",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Alice",107,"stren"
"63",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Alice",116,"stren"
"64",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Alice",107,"stren"
"65",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Alice",201,"stren"
"66",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Alice",424,"stren"
"67",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Alice",127,"stren"
"68",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Alice",95,"stren"
"69",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Alice",222,"stren"
"70",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Alice",323,"stren"
"71",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Alice",307,"stren"
"72",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Alice",23,"stren"
"73",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Alice",37,"stren"
"74",215.151421241374,0.298901098901099,540,2006-01-12,2006-04-12,251.783333333333,"Alice",59,"stren"
"75",171.824312852352,2.32747252747253,573,2006-07-11,2006-10-09,172.066666666667,"Alice",76,"stren"
"76",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Denise",111,"stren"
"77",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Denise",296,"stren"
"78",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Denise",295,"stren"
"79",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Denise",170,"stren"
"80",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Denise",147,"stren"
"81",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Denise",207,"stren"
"82",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Denise",69,"stren"
"83",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Denise",28,"stren"
"84",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Denise",58,"stren"
"85",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Denise",113,"stren"
"86",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Denise",129,"stren"
"87",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Denise",57,"stren"
"88",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Denise",46,"stren"
"89",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Denise",75,"stren"
"90",194.889315364791,1.75824175824176,780,2003-01-28,2003-04-28,196.616666666667,"Denise",9,"stren"
"91",114.000779670787,1.49450549450549,1771,2003-04-28,2003-07-27,284.35,"Denise",37,"stren"
"92",199.659365200692,1.05274725274725,713,2003-07-27,2003-10-25,172.4,"Denise",55,"stren"
"93",285.345857569609,0.703296703296703,684,2003-10-25,2004-01-23,170.95,"Denise",75,"stren"
"94",196.49287659664,1.65934065934066,1549,2004-01-23,2004-04-22,327.8,"Denise",101,"stren"
"95",117.464646961206,0.70989010989011,2018,2004-04-22,2004-07-21,405.333333333333,"Denise",200,"stren"
"96",288.554791884825,1.61538461538462,1271,2004-10-19,2005-01-17,283.25,"Denise",190,"stren"
"97",190.992201581347,0.775824175824176,345,2005-07-16,2005-10-14,121.866666666667,"Denise",19,"stren"
"98",301.689234566828,0.602197802197802,480,2005-10-14,2006-01-12,174.383333333333,"Denise",16,"stren"
"101",123.083386613225,1.28571428571429,1334,1997-05-29,1997-08-27,278,"Sarah",288,"stren"
"102",253.786315655469,1.76043956043956,1769,1997-08-27,1997-11-25,406,"Sarah",297,"stren"
"103",280.90089787264,1.11428571428571,1521,1997-11-25,1998-02-23,259.5,"Sarah",372,"stren"
"104",155.275202807579,2.61758241758242,880,1998-02-23,1998-05-24,147.5,"Sarah",201,"stren"
"105",128.256327465637,1.29450549450549,777,1998-05-24,1998-08-22,174.683333333333,"Sarah",214,"stren"
"106",240.136666684914,1.15604395604396,1142,1998-08-22,1998-11-20,394.983333333333,"Sarah",242,"stren"
"107",153.877877952195,1.03516483516484,351,1999-02-18,1999-05-19,184.316666666667,"Sarah",78,"stren"
"108",229.431272104618,1.17362637362637,275,1999-08-17,1999-11-15,101.166666666667,"Sarah",68,"stren"
"109",115.423959062294,0.879120879120879,277,2000-05-13,2000-08-11,57.7833333333333,"Sarah",41,"stren"
"110",116.188203461321,0.492307692307692,930,2001-05-08,2001-08-06,304.733333333333,"Sarah",221,"stren"
"111",194.647092702859,1.36703296703297,1006,2001-08-06,2001-11-04,360.816666666667,"Sarah",230,"stren"
"112",281.952382471119,1.10549450549451,384,2001-11-04,2002-02-02,161.666666666667,"Sarah",77,"stren"
"113",195.672306732752,0.630769230769231,463,2002-02-02,2002-05-03,259.3,"Sarah",117,"stren"
"114",221.762815127641,1.05714285714286,519,2002-08-01,2002-10-30,86.55,"Sarah",155,"stren"
